# Region type : functionObjectSurface sampled.plane1
# Faces       : 986
# Area        : 3.081250e-03
# Scale factor: 1.000000e+00
# Weight field: rhoU
# Time        	weightedUniformity(p)	weightedUniformity(U)	weightedUniformity(rhoU)
477           	9.821990e-01	9.966481e-01	9.966481e-01
478           	9.821992e-01	9.966471e-01	9.966471e-01
479           	9.821984e-01	9.966480e-01	9.966480e-01
480           	9.821994e-01	9.966470e-01	9.966470e-01
481           	9.821986e-01	9.966481e-01	9.966481e-01
482           	9.821989e-01	9.966471e-01	9.966471e-01
483           	9.821982e-01	9.966480e-01	9.966480e-01
484           	9.821990e-01	9.966470e-01	9.966470e-01
485           	9.821983e-01	9.966481e-01	9.966481e-01
486           	9.821987e-01	9.966471e-01	9.966471e-01
487           	9.821981e-01	9.966480e-01	9.966480e-01
488           	9.821992e-01	9.966470e-01	9.966470e-01
489           	9.821984e-01	9.966481e-01	9.966481e-01
